time,n1_in,n1_out,n2_in,n2_out,n3_in,n3_out,n4_in,n4_out,n5_in,n5_out
1,1,0,1,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,1,0,1,0
5,1,0,1,0,0,0,0,0,0,0
6,0,0,0,1,0,0,1,0,1,0
7,1,0,0,0,0,0,0,-1,0,1
8,0,1,0,0,0,0,1,0,1,0
9,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,-1,-1,0,-1,0
14,0,0,1,0,0,0,0,0,0,0
15,0,0,0,1,0,0,1,0,1,0
16,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0
20,0,1,0,0,0,0,1,0,1,0
21,0,0,0,0,0,0,0,-1,0,1
22,0,0,1,0,0,0,0,0,0,0
23,0,0,0,1,0,0,1,0,1,0
24,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0
26,0,0,1,0,0,-1,-1,0,-1,0
27,1,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,1,0,1,0
29,0,0,0,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0
31,1,0,0,1,1,0,1,0,1,0
32,0,0,0,0,0,0,0,-1,0,1